Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,74.9115,75.4359,74.4735,75.0000,75.0000,81873848
2020-01-03,76.1603,76.5606,73.8855,75.3448,75.3448,40050922
2020-01-06,74.9190,75.4351,73.8779,75.2483,75.2483,72274112
2020-01-07,75.4936,75.6442,74.9280,74.9666,74.9666,76214147
2020-01-08,75.0498,75.3670,74.1327,75.3221,75.3221,114567334
2020-01-09,73.3563,74.4555,73.1627,73.3506,73.3506,40896335
2020-01-10,73.4043,73.4786,73.1615,73.1896,73.1896,77688596
2020-01-13,72.9635,73.9149,72.4795,72.7841,72.7841,86354936
2020-01-14,73.7976,74.6186,72.0723,73.5336,73.5336,70977264
2020-01-15,73.9653,74.6351,73.8688,74.0144,74.0144,52112139
2020-01-16,74.8009,74.9776,73.7735,74.5528,74.5528,56751983
2020-01-17,75.2215,75.5176,74.4583,75.1920,75.1920,65321413
2020-01-20,76.6481,77.8749,76.2558,76.2964,76.2964,73441170
2020-01-21,74.9619,75.1038,73.8800,74.9420,74.9420,119171711
2020-01-22,73.5977,74.7695,73.3632,74.4214,74.4214,66912804
2020-01-23,72.5646,73.1269,71.8757,72.9484,72.9484,102944427
2020-01-24,73.6971,74.1092,73.5309,73.6114,73.6114,71686571
2020-01-27,74.3907,74.9883,72.7263,74.9830,74.9830,73511894
2020-01-28,76.7442,77.7269,76.1186,77.1128,77.1128,49974751
2020-01-29,76.1236,76.3264,75.4738,76.2121,76.2121,58092135
2020-01-30,76.1705,76.7991,75.9465,76.2691,76.2691,120980537
2020-01-31,73.8806,74.3537,73.4580,74.3026,74.3026,39503407
2020-02-03,72.3453,73.0593,71.8178,73.0112,73.0112,143161009
2020-02-04,73.4504,74.6199,73.1136,73.8211,73.8211,40594884
2020-02-05,75.0122,75.2493,74.0993,74.6091,74.6091,31801254
2020-02-06,73.2952,73.3905,73.1284,73.2644,73.2644,39578122
2020-02-07,74.1747,75.7050,73.3669,74.3582,74.3582,54134422
2020-02-10,73.9693,75.2216,73.9582,74.5796,74.5796,98276106
2020-02-11,76.4255,77.0148,75.9927,76.5367,76.5367,34935020
2020-02-12,76.4180,76.7616,75.5653,76.4407,76.4407,41494435
2020-02-13,76.9482,76.9621,75.0346,76.7746,76.7746,53162276
2020-02-14,76.5195,76.6322,75.5521,75.8357,75.8357,70105757
2020-02-17,72.7535,73.8272,71.7944,73.1674,73.1674,84256110
2020-02-18,73.2826,73.8098,72.5557,73.3508,73.3508,169878525
2020-02-19,71.4184,71.5147,70.9981,71.2225,71.2225,92329372
2020-02-20,73.2118,74.8073,72.3630,73.2574,73.2574,94919127
2020-02-21,72.2694,73.0763,71.7581,72.7767,72.7767,55530663
2020-02-24,71.9265,72.9723,70.8801,72.1841,72.1841,76040419
2020-02-25,73.2955,73.2965,73.1332,73.2199,73.2199,24992350
2020-02-26,71.5851,72.0739,70.2854,71.2359,71.2359,71757667
2020-02-27,72.4770,73.2613,72.1434,72.5266,72.5266,56156921
2020-02-28,72.5121,74.1256,71.1992,73.0311,73.0311,69820370
2020-03-02,74.0935,74.4702,73.9206,74.2891,74.2891,56101032
2020-03-03,76.0024,76.4882,75.2889,75.6703,75.6703,38060224
2020-03-04,76.5345,77.8860,75.6285,76.6679,76.6679,62448609
2020-03-05,78.4841,79.1626,77.5064,78.3375,78.3375,47056704
2020-03-06,78.2170,79.0721,76.0766,78.1554,78.1554,141831895
2020-03-09,78.6257,78.7018,76.9252,78.2642,78.2642,86004320
2020-03-10,77.6715,78.2760,76.8278,77.3052,77.3052,61759214
2020-03-11,75.6793,77.2229,73.6934,76.4615,76.4615,42640001
2020-03-12,76.5570,77.2633,75.9324,77.2009,77.2009,75468414
2020-03-13,77.6786,78.3008,77.1160,78.1750,78.1750,48288012
2020-03-16,79.5462,79.9168,77.9455,79.0472,79.0472,32170367
2020-03-17,81.0807,81.8347,79.9924,80.8679,80.8679,103579166
2020-03-18,80.4227,80.4464,78.9952,80.1515,80.1515,100498513
2020-03-19,79.5755,80.0766,78.0529,79.6248,79.6248,48222564
2020-03-20,80.2247,80.5455,79.3291,80.5024,80.5024,82472013
2020-03-23,82.0351,82.7860,81.6547,81.7085,81.7085,58932947
2020-03-24,80.8751,82.8788,80.3118,81.6345,81.6345,44029107
2020-03-25,81.3242,82.6737,81.2554,81.7817,81.7817,47361350
2020-03-26,82.1589,83.4772,81.0055,82.5648,82.5648,72334900
2020-03-27,83.1190,83.3037,82.8554,82.9689,82.9689,27357746
2020-03-30,81.3776,82.6355,80.2202,81.5766,81.5766,115752004
2020-03-31,80.9196,80.9226,79.2776,80.7778,80.7778,58939853
2020-04-01,82.5194,83.3737,81.6021,82.5643,82.5643,80497413
2020-04-02,79.9354,80.4924,79.1626,80.1596,80.1596,94871181
2020-04-03,79.8357,81.2354,79.2574,79.7820,79.7820,45026770
2020-04-06,79.9131,80.3538,79.1972,80.0907,80.0907,37665224
2020-04-07,78.9949,80.3607,76.7904,79.5000,79.5000,184510738
2020-04-08,82.2382,83.2518,81.7899,82.3627,82.3627,46381477
2020-04-09,82.3865,83.4927,82.3003,82.7656,82.7656,79663351
