Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,158.6521,160.0186,156.8979,160.0000,160.0000,26422407
2020-01-03,160.3998,161.6942,159.2977,160.5376,160.5376,46202339
2020-01-06,157.9868,159.4335,157.1552,157.7836,157.7836,22767821
2020-01-07,160.6683,163.4415,158.2344,160.2279,160.2279,10464502
2020-01-08,160.7030,161.4252,159.5854,159.8796,159.8796,27948371
2020-01-09,153.5443,157.8268,151.6528,155.0889,155.0889,20816809
2020-01-10,156.9797,157.7315,155.7476,156.5375,156.5375,47767176
2020-01-13,157.3745,158.1165,156.9510,157.9888,157.9888,27137729
2020-01-14,158.3421,159.3143,157.6918,158.4331,158.4331,25917878
2020-01-15,164.1098,165.3345,159.7937,162.7896,162.7896,16595627
2020-01-16,164.8694,165.4886,164.8521,165.3666,165.3666,35273690
2020-01-17,166.9363,169.0843,166.8618,167.2932,167.2932,24777112
2020-01-20,169.2838,170.1885,166.4962,168.9396,168.9396,24867771
2020-01-21,171.4096,173.4874,169.5006,172.3527,172.3527,10254683
2020-01-22,169.2765,171.1332,167.8042,169.5643,169.5643,32863181
2020-01-23,167.2411,168.3519,166.6910,166.7956,166.7956,15277674
2020-01-24,165.6442,167.7684,164.7312,165.6099,165.6099,49259679
2020-01-27,170.5611,173.6449,169.9343,170.3793,170.3793,37148788
2020-01-28,171.2313,173.0214,167.3836,171.2390,171.2390,20437452
2020-01-29,171.4415,172.5717,170.4593,171.4826,171.4826,29812281
2020-01-30,173.7876,176.4506,173.6642,174.1861,174.1861,47940063
2020-01-31,170.6044,172.5493,168.6371,169.1561,169.1561,22295385
2020-02-03,169.7015,169.7833,165.0582,168.6683,168.6683,25635533
2020-02-04,171.5819,172.5895,171.4662,171.6616,171.6616,13111492
2020-02-05,174.8847,178.1277,174.7472,175.2969,175.2969,28747324
2020-02-06,173.8461,174.4435,173.8270,174.4170,174.4170,24937675
2020-02-07,172.1950,173.9762,170.2042,173.9342,173.9342,34990049
2020-02-10,178.0538,178.3081,176.4944,177.0159,177.0159,19921528
2020-02-11,178.7546,180.2702,178.4689,179.2884,179.2884,28297146
2020-02-12,176.0439,176.6687,173.9373,176.1231,176.1231,29733589
2020-02-13,180.4603,180.7141,178.6602,180.2018,180.2018,25710291
2020-02-14,174.7091,176.1609,173.1438,174.2824,174.2824,12406423
2020-02-17,170.8235,171.0200,169.8271,170.1906,170.1906,35440581
2020-02-18,171.7755,172.3791,171.4420,172.0638,172.0638,28481775
2020-02-19,169.2586,169.5464,167.9649,168.8425,168.8425,21667557
2020-02-20,168.7338,169.9895,166.3776,168.0350,168.0350,18295987
2020-02-21,171.3743,172.4437,169.8780,171.6193,171.6193,32268088
2020-02-24,167.1061,168.2834,166.2217,167.3881,167.3881,27010728
2020-02-25,169.3567,170.9182,167.4355,170.0727,170.0727,47421824
2020-02-26,167.1806,168.0415,166.1888,166.9242,166.9242,48389371
2020-02-27,166.2366,168.5834,164.8478,166.1645,166.1645,27436563
