Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,318.7772,321.3886,316.9700,320.0000,320.0000,62596058
2020-01-03,321.7247,323.1008,319.0140,321.4026,321.4026,68919946
2020-01-06,322.0117,325.7508,319.4572,321.4233,321.4233,139024071
2020-01-07,327.1350,331.1070,324.0092,325.9627,325.9627,87112167
2020-01-08,325.2913,326.8187,324.3703,325.8758,325.8758,111946036
2020-01-09,318.5256,319.7406,316.2305,318.2894,318.2894,93604227
2020-01-10,317.8213,320.2023,317.2131,318.5354,318.5354,79679419
2020-01-13,314.4484,315.7421,313.5816,315.3505,315.3505,52569748
2020-01-14,315.1679,321.9191,313.1502,316.0538,316.0538,58321827
2020-01-15,315.9837,318.7413,312.1111,316.9566,316.9566,68509931
2020-01-16,317.5659,318.1262,314.4726,318.1262,318.1262,114402749
2020-01-17,320.9285,323.4657,318.1933,319.2497,319.2497,61457118
2020-01-20,320.4585,322.3502,319.7685,321.3280,321.3280,32721809
2020-01-21,324.2165,326.5954,323.7053,324.0055,324.0055,86264079
2020-01-22,325.2444,325.8817,317.7126,324.8159,324.8159,74770734
2020-01-23,324.4696,326.2466,320.2824,322.5669,322.5669,45114347
2020-01-24,325.3644,327.0057,321.6836,324.6734,324.6734,119626010
2020-01-27,331.3018,331.4849,329.7790,331.4115,331.4115,92655103
2020-01-28,332.0350,333.6622,329.2961,333.2663,333.2663,102980269
2020-01-29,334.3171,335.1048,330.7768,334.4295,334.4295,112752679
2020-01-30,335.0550,337.5975,333.1843,334.9080,334.9080,129142964
2020-01-31,331.2697,332.5229,328.4278,331.2380,331.2380,101460453
2020-02-03,331.8136,332.3031,329.8308,330.6481,330.6481,92747606
2020-02-04,330.6928,332.4569,327.8409,332.0187,332.0187,77075475
2020-02-05,333.2640,337.4663,327.6587,332.4543,332.4543,79867300
2020-02-06,332.6113,334.6315,332.0218,332.3621,332.3621,45719885
2020-02-07,332.2794,334.4546,331.6881,334.1153,334.1153,39621676
2020-02-10,334.5438,338.0692,330.2353,333.6492,333.6492,91651562
2020-02-11,331.3910,336.5295,329.8845,332.9145,332.9145,57994542
2020-02-12,331.1775,331.5860,325.4035,330.4559,330.4559,101935299
2020-02-13,324.4990,326.4474,324.0483,324.8197,324.8197,80432071
2020-02-14,318.0541,322.1933,316.7615,319.2322,319.2322,61174528
